,accuracy,precision,recall,f1,spd,intersectional_spd,average_odds_difference,equal_opportunity_difference,differential_fairness,df_bias_amplification,fold,model,lr,lambda_reg
0,0.69,0.66,0.59,0.62,-0.01,0.28,-0.01,-0.02,0.82,0.36,0,vanilla,0.003,
1,0.68,0.66,0.53,0.59,-0.03,0.18,-0.03,-0.06,0.6,0.14,0,adversary,0.003,0.4
2,0.68,0.64,0.6,0.62,0.01,0.51,0.0,-0.02,2.68,2.22,0,improved,0.003,
3,0.66,0.62,0.51,0.56,0.02,0.61,0.01,-0.01,4.48,4.02,0,multi-adversary,0.003,
4,0.69,0.65,0.64,0.65,-0.07,0.27,-0.07,-0.08,0.76,0.34,1,vanilla,0.003,
5,0.69,0.65,0.65,0.65,-0.01,0.22,-0.0,-0.02,0.54,0.12,1,adversary,0.003,0.4
6,0.67,0.71,0.44,0.55,0.04,0.42,0.04,0.05,2.27,1.86,1,improved,0.003,
7,0.67,0.7,0.44,0.54,-0.01,0.44,-0.01,-0.01,2.84,2.43,1,multi-adversary,0.003,
8,0.68,0.69,0.53,0.6,0.0,0.22,0.01,0.02,0.69,0.43,2,vanilla,0.003,
9,0.68,0.69,0.53,0.6,0.0,0.14,0.01,0.03,0.41,0.15,2,adversary,0.003,0.4
10,0.63,0.63,0.44,0.52,0.04,0.59,0.04,0.06,5.44,5.18,2,improved,0.003,
11,0.64,0.65,0.44,0.53,0.04,0.55,0.03,0.04,4.07,3.81,2,multi-adversary,0.003,
12,0.67,0.66,0.63,0.64,0.02,0.38,0.03,0.05,1.05,0.56,3,vanilla,0.003,
13,0.67,0.66,0.62,0.64,0.04,0.29,0.05,0.06,0.75,0.25,3,adversary,0.003,0.4
14,0.66,0.75,0.44,0.55,-0.01,0.43,-0.01,0.0,3.89,3.4,3,improved,0.003,
15,0.63,0.64,0.55,0.59,-0.02,0.64,-0.03,-0.04,4.31,3.81,3,multi-adversary,0.003,
16,0.68,0.66,0.58,0.62,-0.02,0.38,-0.02,-0.02,1.3,1.02,4,vanilla,0.003,
17,0.68,0.65,0.62,0.63,-0.04,0.31,-0.03,-0.02,0.91,0.63,4,adversary,0.003,0.4
18,0.65,0.65,0.51,0.57,-0.07,0.54,-0.08,-0.13,3.46,3.17,4,improved,0.003,
19,0.64,0.66,0.43,0.52,-0.04,0.47,-0.04,-0.04,4.01,3.72,4,multi-adversary,0.003,
